Asthma,fipsfip2
67.63,6001
18.39,6003
65.74,6005
47.3,6007
42.035,6009
35.87,6011
60.14,6013
66.46,6015
28.435,6017
73.32,6019
41.805,6021
71.78,6023
90.86,6025
50.015,6027
61.08,6029
81.7,6031
54.7,6033
31.37,6035
48.15,6037
59.0,6039
25.14,6041
38.1,6043
71.045,6045
82.75,6047
44.965,6049
28.74,6051
50.14,6053
42.35,6055
38.575,6057
29.26,6059
35.61,6061
51.3,6063
44.87,6065
62.47,6067
59.85,6069
60.66,6071
35.0,6073
38.59,6075
73.34,6077
30.83,6079
40.3,6081
34.59,6083
28.365,6085
27.72,6087
59.23,6089
56.14,6091
33.575,6093
91.61,6095
39.92,6097
53.575,6099
36.99,6101
60.98,6103
34.25,6105
55.19,6107
50.3,6109
34.46,6111
45.33,6113
46.54,6115
