County,Total EV
Alameda County,45785
Alpine County,11
Amador County,226
Butte County,982
Calaveras County,276
Colusa County,45
Contra Costa County,25938
Del Norte County,92
El Dorado County,2795
Fresno County,5481
Glenn County,65
Humboldt County,1475
Imperial County,288
Inyo County,78
Kern County,3222
Kings County,379
Lake County,376
Lassen County,14
Los Angeles County,154234
Madera County,574
Marin County,9657
Mariposa County,81
Mendocino County,924
Merced County,968
Modoc County,1
Mono County,67
Monterey County,3429
Napa County,2365
Nevada County,1113
Orange County,76706
Placer County,6339
Plumas County,52
Riverside County,22953
Sacramento County,15855
San Benito County,718
San Bernardino County,17279
San Diego County,51616
San Francisco County,16134
San Joaquin County,5918
San Luis Obispo County,3964
San Mateo County,24890
Santa Barbara County,5088
Santa Clara County,73092
Santa Cruz County,5420
Shasta County,734
Sierra County,7
Siskiyou County,98
Solano County,5139
Sonoma County,9868
Stanislaus County,2606
Sutter County,364
Tehama County,143
Trinity County,47
Tulare County,1391
Tuolumne County,240
Unknown,4554
Ventura County,13080
Yolo County,2948
Yuba County,289
