fips,Total EV
06001,45785
06003,11
06005,226
06007,982
06009,276
06011,45
06013,25938
06015,92
06017,2795
06019,5481
06021,65
06023,1475
06025,288
06027,78
06029,3222
06031,379
06033,376
06035,14
06037,154234
06039,574
06041,9657
06043,81
06045,924
06047,968
06049,1
06051,67
06053,3429
06055,2365
06057,1113
06059,76706
06061,6339
06063,52
06065,22953
06067,15855
06069,718
06071,17279
06073,51616
06075,16134
06077,5918
06079,3964
06081,24890
06083,5088
06085,73092
06087,5420
06089,734
06091,7
06093,98
06095,5139
06097,9868
06099,2606
06101,364
06103,143
06105,47
06107,1391
06109,240
06111,4554
06113,13080
06115,2948
