fips,Asthma
06001,131.64
06003,60.66
06005,142.12
06007,142.17
06009,90.48
06011,68.74
06013,169.56
06015,142.28
06017,58.03
06019,107.8
06021,94.54
06023,89.83
06025,118.86
06027,89.51
06029,68.74
06031,142.28
06033,66.49
06035,78.61
06037,142.28
06039,142.28
06041,91.39
06043,149.88
06045,123.86
06047,142.28
06049,176.3
06051,95.77
06053,121.39
06055,88.42
06057,142.18
06059,108.89
06061,101.34
06063,105.29
06065,106.87
06067,131.79
06069,73.07
06071,64.02
06073,79.42
06075,69.87
06077,94.01
06079,95.89
06081,87.25
06083,72.52
06085,91.21
06087,65.67
06089,76.55
06091,54.46
06093,127.1
06095,32.65
06097,69.42
06099,110.81
06101,61.55
06103,95.84
06105,55.5
06107,119.79
06109,115.44
06111,66.33
06113,116.56
06115,128.15
